title	description	date	amount	areasOfInterest	link
School of Thinking	This regrant will support a global media outreach project to create high quality video, podcast, and social media content about Effective Altruism.	May 2022	$250,000	Values and Reflective Processes|Effective Altruism	
Legal Services Planning Grant	This regrant will support six months of research on topics including how legal services can be effectively provided to the Effective Altruism community, materials to be included in a legal services handbook for EA organizations, novel legal questions particular to the EA community that might benefit from further research initiatives, and ways to create an effective EA professional network for practicing lawyers.	May 2022	$100,000	Effective Altruism	
Manifold Markets	​​This regrant will support Manifold Markets in building a play-money prediction market platform. The platform is also experimenting with impact certificates and charity prediction markets.	March 2022	$1,000,000	Epistemic Institutions	https://manifold.markets/
David Xu	This regrant will support six months of research on AI safety.	March 2022	$50,000	Artificial Intelligence	
Trojan Detection Challenge at NeurIPS 2022	This regrant will support prizes for a trojan detection competition at NeurIPS, which involves identifying whether a deep neural network will suddenly change behavior if certain unknown conditions are met.	May 2022	$50,000	Artificial Intelligence	
Effective Altruism Office Zurich	This regrant will support renting and furnishing an office space for a year.	May 2022	$52,000	Effective Altruism	
Akash Wasil	This regrant will support an individual working on supporting students who are interested in focusing their careers on the world’s most pressing problems.	March 2022	$26,000	Empowering Exceptional People|Effective Altruism	
Fiona Pollack	This regrant will support six months of salary for an individual working to support Harvard students interested in working on the world’s most pressing problems and protecting and improving the long term future.	April 2022	$30,000	Empowering Exceptional People|Effective Altruism	
Peter McLaughlin	This regrant will support six months of research on criticisms of effective altruism.	April 2022	$46,000	Research That Can Help Us Improve	
Dwarkesh Patel	This regrant will support a promising podcaster to hire a research assistant and editor, purchase equipment, and cover travel to meet guests in person. The podcast covers technological progress, existential risk, economic growth, and the long term future.	April 2022	$76,000	Values and Reflective Processes	
ALERT	This regrant will support the creation of the Active Longtermist Emergency Response Team, an organization to rapidly manage emerging global events like Covid-19.	May 2022	$150,000		https://forum.effectivealtruism.org/posts/sgcxDwyD2KL6BHH2C/case-for-emergency-response-teams
EA Critiques and Red Teaming Prize	This regrant will support prize money for a writing contest for critically engaging with theory or work in Effective Altruism. The goal of the contest is to produce thoughtful, action oriented critiques.	May 2022	$100,000	Effective Altruism	https://forum.effectivealtruism.org/posts/8hvmvrgcxJJ2pYR4X/announcing-a-contest-ea-criticism-and-red-teaming
Federation for American Scientists	This regrant will support a researcher and research assistant to work on high-skill immigration and AI policy at FAS for three years.	May 2022	$1,000,000	Artificial Intelligence|Economic Growth	https://fas.org/
Ought	This regrant will support Ought’s work building Elicit, a language-model based research assistant. This work contributes to research on reducing alignment risk through scaling human supervision via process-based systems.	May 2022	$5,000,000	Artificial Intelligence	
ML Safety Scholars Program	This regrant will fund a summer program for up to 100 students to spend 9 weeks studying machine learning, deep learning, and technical topics in safety.	April 2022	$490,000	Artificial Intelligence|Empowering Exceptional People	https://course.mlsafety.org
AntiEntropy	This regrant will support a project to create and house operations-related resources and guidance for EA-aligned organizations.	March 2022	$120,000	Effective Altruism	https://resourceportal.antientropy.org/
Everett Smith	This regrant will support a policy retreat on governing artificial intelligence.	May 2022	$35,000	Artificial Intelligence	
Olle Häggström, Chalmers University of Technology	This regrant will support research on statistical arguments relating to existential risk and work on risks from artificial intelligence, as well as outreach, supervision, and policy work on these topics.	May 2022	$380,000	Artificial Intelligence|Effective Altruism|Research That Can Help Us Improve	
Essay Contest on Existential Risk in US Cost Benefit Analysis	This regrant will support an essay contest on “Accounting for Existential Risks in US Cost-Benefit Analysis,” with the aim of contributing to the revision of OMB Circular-A4, a document which guides US government cost-benefit analysis. The Legal Priorities Project is administering the contest.	May 2022	$137,500	Epistemic Institutions|Values and Reflective Processes	https://www.legalpriorities.org/competition.html
MineRL BASALT competition at NeurIPS	This regrant will support a NeurIPS competition applying human feedback in a non-language-model setting, specifically pretrained models in Minecraft. The grant will be administered by the Berkeley Existential Risk Initiative.	May 2022	$155,000	Artificial Intelligence	https://minerl.io/basalt/
QURI	This regrant will support QURI to develop a programming language called "Squiggle" as a tool for probabilistic estimation. The hope is this will be a useful tool for forecasting and fermi estimates.	May 2022	$200,000	Epistemic Institutions|Research That Can Help Us Improve	https://www.squiggle-language.com/
Andi Peng	This regrant will support four months of salary and compute for research on AI alignment.	May 2022	$42,600	Artificial Intelligence	
CSIS	This regrant will support initiatives including a CSIS public event focused on the importance of investments in human capital to ensure US national security; roundtables with policymakers, immigration experts, national security professionals, and company representatives to discuss key policy actions that should be taken to bolster US national security through immigration reform; and two episodes of the “Vying for Talent” podcast focusing on the importance of foreign talent in bolstering America’s innovative capacity.	May 2022	$75,000	Economic Growth|Great Power Relations	
Aaron Scher	This regrant will support a summer of research on AI alignment in Berkeley.	May 2022	$28,500	Artificial Intelligence	
Kris Shrishak	This regrant will support research on how cryptography might be applied to AI safety research.	April 2022	$28,000	Artificial Intelligence	
AI Impacts	This regrant will support rerunning the highly-cited survey “When Will AI Exceed Human Performance? Evidence from AI Experts” from 2016, analysis, and publication of results.	June 2022	$250,000	Artificial Intelligence|Research That Can Help Us Improve	
Chinmay Ingalagavi	This regrant will support a Masters at LSE for a talented STEM student.	May 2022	$50,000	Empowering Exceptional People	
Apart Research	This regrant will support the creation of an AI Safety organization which will create a platform to share AI safety research ideas and educational materials, connect people working on AI safety, and bring new people into the field.	May 2022	$95,000	Artificial Intelligence	https://apartresearch.com/
Tereza Flidrova	This regrant will support a one year master’s program in architecture for a student interested in building civilizational shelters.	May 2022	$32,000	Biorisk and Recovery from Catastrophe	
J. Peter Scoblic	This regrant will fund a nuclear risk expert to construct nuclear war-related forecasting questions and provide forecasts and explanations on key nuclear war questions.	May 2022	$25,000	Epistemic Institutions|Great Power Relations	
AI Risk Public Materials Competition	This regrant will support two competitions to produce better public materials on the existential risk from AI.	April 2022	$40,000	Artificial Intelligence	
Moncef Slaoui	This regrant will fund the writing of Slaoui's memoir, especially including his experience directing Operation Warp Speed.	May 2022	$150,000	Biorisk and Recovery from Catastrophe	
Artificial Intelligence Summer Residency Program	This regrant will support a six week summer residency in Berkeley on AI safety.	May 2022	$60,000	Artificial Intelligence	
Public Editor	This regrant will support a project to use a combination of human feedback and Machine Learning to label misinformation and reasoning errors in popular news articles.	March 2022	$500,000	Epistemic Institutions	https://publiceditor.io
The Good Ancestors Project	This regrant will support the creation of The Good Ancestors Project, an Australian-based organization to host research and community building on topics relevant to making the long term future go well.	May 2022	$75,000	Effective Altruism	https://goodancestorsproject.org.au
Thomas Kwa	This regrant will support three months of research on AI safety.	April 2022	$37,500	Artificial Intelligence	
Joshua Greene, Harvard University	This regrant will support the real-world testing and roll-out of 'Red Brain, Blue Brain', an online quiz designed to reduce negative partisanship between Democrats and Republicans in the US.	March 2022	$250,000	Values and Reflective Processes	
Braden Leach	This regrant supported a recent law school graduate to work on biosecurity. Braden will research and write at the Johns Hopkins Center for Health Security.	April 2022	$175,000	Biorisk and Recovery from Catastrophe|Empowering Exceptional People	
Adversarial Robustness Prizes at ECCV	This regrant will support three prizes for the best papers on adversarial robustness research at a workshop at ECCV, the main fall computer vision conference. The best papers are selected to have higher relevance to long-term threat models than usual adversarial robustness papers.	April 2022	$30,000	Artificial Intelligence	
Confido Institute	The Confido Institute is working on developing a user-friendly interactive app, Confido, for making forecasts and communicating beliefs and uncertainty within groups and organizations. They are also building interactive educational programs about forecasting and working with uncertainty based around this app.	May 2022	$190,000	Epistemic Institutions	https://confido.tools/
Supporting Agent Foundations AI safety research at ALTER	This regrant will support 1.5-3 years of salary for a mathematics researcher to work with Vanessa Kosoy on the learning-theoretic AI safety agenda.	April 2022	$200,000	Artificial Intelligence	https://www.lesswrong.com/posts/it5odhMKY6xYLrFZD/closed-hiring-a-mathematician-to-work-on-the-learning
Modeling Transformative AI Risks (Aryeh Englander, Sammy Martin, Analytica Consulting)	This regrant will support two AI researchers, one or two additional assistants, and a consulting firm to continue to build out and fully implement the quantitative model for how to understand risks and interventions around AI safety, expanding on their earlier research on “Modeling Transformative AI Risk.”	May 2022	$272,000	Artificial Intelligence|Research That Can Help Us Improve	https://www.alignmentforum.org/s/aERZoriyHfCqvWkzg
Impact Markets	This regrant will support the creation of an “impact market.” The hope is to improve charity fundraising by allowing profit-motivated investors to earn returns by investing in charitable projects that are eventually deemed impactful.	March 2022	$215,000	Effective Altruism|Research That Can Help Us Improve	https://impactmarkets.io/
AI Alignment Prize on Inverse Scaling	This regrant will support prizes for a contest to find tasks where larger language models do worse (“inverse scaling”).	May 2022	$250,000	Artificial Intelligence	
