Grant,"Organization Name","Focus Area",Amount,Date
"Alliance for Animals — Farmed Animal Advocacy in Eastern Europe","Alliance for Animals","Farm Animal Welfare","$100,000","June 2022"
"Jeanne Marchig Centre — Farm Animal Welfare Advocacy in East Asia and the Philippines","Jeanne Marchig International Centre for Animal Welfare Education","Farm Animal Welfare","$555,000","May 2022"
"University Of Science Technical And Technologies De Bamako — Malaria Vaccine Clinical Trial (Alassane Dicko)","University Of Science Technical And Technologies De Bamako","Human Health and Wellbeing","$630,123","August 2021"
"Institut des Sciences et Techniques, Bobo-Dioulasso — Malaria Vaccine Clinical Trial (Jean Bosco Ouedraogo)","Institut des Sciences et Techniques, Bobo-Dioulasso","Human Health and Wellbeing","$631,162","August 2021"
"Institut de Recherche en Sciences de la Santé — Malaria Vaccine Clinical Trial (Halidou Tinto)","Institut de Recherche en Sciences de la Santé","Human Health and Wellbeing","$630,123","August 2022"
"KEMRI-Wellcome Trust Research Programme — Malaria Vaccine Clinical Trial (Philip Bejon)","The KEMRI-Wellcome Trust Research Programme","Human Health and Wellbeing","$472,016","August 2021"
"Kurzgesagt — Short-form Video Content",Kurzgesagt,Longtermism,"$2,978,000","March 2022"
"Open Phil AI Fellowship — 2022 Class","Open Phil AI Fellowship","Potential Risks from Advanced AI","$1,840,000","April 2022"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2022)","Scholarship (Various)","Biosecurity & Pandemic Preparedness","$985,926","January 2022"
"New Incentives – Nigeria","New Incentives","GiveWell-Recommended Charities","$13,676,963","June 2022"
"Precision Development – Trial Scoping","Precision Development","Global Health & Development","$539,864","April 2022"
"GiveDirectly – General Support (2022)",GiveDirectly,"GiveWell-Recommended Charities","$500,000","January 2022"
"SCI Foundation – General Support","SCI Foundation","GiveWell-Recommended Charities","$500,000","January 2022"
"The END Fund — General Support (2021)","The END Fund","GiveWell-Recommended Charities","$500,000","December 2021"
"Anima International — Chicken Welfare Campaigns (2022)","Anima International","Broiler Chicken Welfare","$6,000,000","April 2022"
"Certified Humane — Farm Animal Welfare Certification Work (2022)","Certified Humane","Farm Animal Welfare","$500,000","March 2022"
"Bit by Bit Coding — High School Courses on Neural Networks","Bit by Bit Coding",Longtermism,"$250,275","October 2021"
"OpenMined — Research on Privacy-Enhancing Technologies and AI Safety",OpenMined,Longtermism,"$28,320","April 2022"
"Affordable Maryland — Advocacy for Affordable Housing and Land Use Reform","Affordable Maryland","Land Use Reform","$500,000","June 2022"
"Evidence Action — Accelerator Program","Evidence Action","GiveWell-Recommended Charities","$14,006,277","January 2022"
"Sightsavers — Scoping Work on Deworming Programs",Sightsavers,"GiveWell-Recommended Charities","$118,000","February 2022"
"WAW Statistical Consulting Ltd — R Package for Bayesian Evidence Aggregation","WAW Statistical Consulting Ltd","GiveWell-Recommended Charities","$66,400","April 2022"
"Asia Research and Engagement — Farm Animal Welfare (2022)","Asia Research &amp; Engagement","Farm Animal Welfare","$450,000","April 2022"
"Rethink Priorities — AI Governance Research (2022)","Rethink Priorities",Longtermism,"$2,728,319","March 2022"
"Longview Philanthropy — Nuclear Security Grantmaking","Longview Philanthropy",Longtermism,"$500,000","April 2022"
"Humane Society of the United States — California Prop 12 Legal Defense","Humane Society of the United States","Farm Animal Welfare","$250,000","May 2022"
"VegeProject — Corporate Outreach (2022)",VegeProject,"Farm Animal Welfare","$300,000","May 2022"
"Berkeley Existential Risk Initiative — David Krueger Collaboration","Berkeley Existential Risk Initiative",Longtermism,"$40,000","April 2022"
"UC San Diego — Cost-Benefit Analysis for Malaria Suppression","San Diego","Human Health and Wellbeing","$190,000","April 2022"
"The Center for Responsible Seafood — Fish Welfare Research and Promotion","The Center for Responsible Seafood","Farm Animal Welfare","$625,000","April 2022"
"Effective Altruism Funds — Re-Granting Support","Center for Effective Altruism","Effective Altruism Community Growth","$7,084,000","February 2022"
"International Vaccine Institute — Cholera Vaccine Clinical Trial","International Vaccines Institute","Human Health and Wellbeing","$2,500,000","January 2022"
"Life Sciences Research Foundation — Young Investigators (2022)","Life Sciences Research Foundation","Transformative Basic Science","$751,000","March 2022"
"The Ahimsa Collective — “Life Comes From It” Fund Administration (2021)","The Ahimsa Collective","Criminal Justice Reform","$155,000","October 2021"
"The Humane League — General Support (2021)","The Humane League","Farm Animal Welfare","$25,000,000","October 2021"
"Université de Montréal — Research Project on Artificial Intelligence","Université de Montréal",Longtermism,"$210,552","September 2021"
"University of Michigan — Course Development Support (Anna Edmonds)","University of Michigan","Effective Altruism Community Growth","$50,300","February 2022"
"University of Southern California — Course Development Support (Jake Nebel)","University of Southern California","Effective Altruism Community Growth","$33,000","October 2021"
"Vegan Women Summit — General Support (2021)","Vegan Women Summit","Farm Animal Welfare","$200,000","March 2021"
"Berkeley Existential Risk Initiative — MineRL BASALT Competition","Berkeley Existential Risk Initiative",Longtermism,"$70,000","July 2021"
"Berkeley Existential Risk Initiative — AI Standards","Berkeley Existential Risk Initiative",Longtermism,"$300,000","July 2021"
"Berkeley Existential Risk Initiative — Support for Kevin Esvelt’s Research","Berkeley Existential Risk Initiative","Biosecurity & Pandemic Preparedness","$100,000","March 2022"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2022)","Berkeley Existential Risk Initiative",Longtermism,"$1,126,160","February 2022"
"Ayni Institute — Movement Strategy and Trainings","Ayni Institute","Criminal Justice Reform","$480,000","October 2021"
"Alignment Research Center — General Support","Alignment Research Center",Longtermism,"$265,000","March 2022"
"Animal Ask — General Support","Animal Ask","Farm Animal Welfare","$130,000","March 2022"
"Center for Long-Term Cybersecurity — AI Standards","UC Berkeley",Longtermism,"$25,000","July 2021"
"Albert Schweitzer Foundation — General Support (2021)","Albert Schweitzer Foundation","Farm Animal Welfare","$3,000,000","October 2021"
"Abundant Housing LA — General Support","Abundant Housing LA","Land Use Reform","$150,000","May 2021"
"Center for International Security and Cooperation — AI and Strategic Stability","Center for International Security and Cooperation",Longtermism,"$365,361","July 2021"
"Charity Entrepreneurship — General Support","Charity Entrepreneurship","Effective Altruism Community Growth","$1,616,474","March 2022"
"Carnegie Endowment for International Peace — AI Governance Research","Carnegie Endowment for International Peace",Longtermism,"$597,717","March 2022"
"California Renters Legal Advocacy and Education Fund — General Support (2021)","California Renters Legal Advocacy and Education Fund","Land Use Reform","$400,000","December 2021"
"Food and Agriculture Research — Keel Bone Damage Reduction","Foundation for Food and Agriculture Research","Farm Animal Welfare","$3,000,000","December 2021"
"Duke University — COVID-19 Antiviral Studies (Timothy Haystead)","Duke University","Science Supporting Biosecurity and Pandemic Preparedness","$14,355","March 2021"
"Dezernat Zukunft — Re-Granting (2022)","Dezernat Zukunft","Macroeconomic Stabilization Policy","$2,400,000","March 2022"
"Court Watch NOLA — General Support (2021)","Court Watch NOLA","Criminal Justice Reform","$250,000","October 2021"
"iGEM — Support for Team ABSI_Kenya’s Project","International Genetically Engineered Machine Foundation","Human Health and Wellbeing","$8,500","May 2021"
"Ifakara Health Institute — Malaria Vaccine Clinical Trial (Ally Olotu)","Ifakara Health Institute","Human Health and Wellbeing","$68,184","July 2021"
"Hofvarpnir Studios — Compute Cluster for AI Safety Research","Hofvarpnir Studios",Longtermism,"$1,443,540","March 2022"
"Probably Good — General Support","Probably Good","Other Areas","$300,000","February 2022"
"Cambridge Existential Risk Initiative — Summer Research Program","Cambridge Existential Risk Initiative",Longtermism,"$743,902","March 2022"
"International Conference on Learning Representations — Security and Safety in Machine Learning Systems Workshop","International Conference on Learning Representations",Longtermism,"$3,000","April 2021"
"Stiftung Neue Verantwortung — AI Policy Analysis","Stiftung Neue Verantwortung",Longtermism,"$444,000","March 2022"
"William D’Alessandro — Course Development Support","William D'Alessandro","Effective Altruism Community Growth","$19,000","December 2021"
"Gaëtan Selle — Videos About Longtermism","Gaëtan Selle",Longtermism,"$50,000","December 2021"
"UC Berkeley — Adversarial Robustness Research (Aditi Raghunathan)","UC Berkeley",Longtermism,"$101,064","August 2021"
"Hypermind — AI Forecasting",Hypermind,Longtermism,"$147,180","March 2021"
"HEARD — General Support (2021)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","$100,000","September 2021"
"Georgia Tech — Research on Lipid Nanoparticles (James Dahlman)","Georgia Institute of Technology","Science Supporting Biosecurity and Pandemic Preparedness","$882,000","April 2021"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing (2021)","Forward Justice","Criminal Justice Reform","$150,000","October 2021"
"Policy Cures Research — General Support","Policy Cures Research","Global Health & Wellbeing","$600,000","March 2022"
"Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2021)","Promise of Justice Initiative","Criminal Justice Reform","$170,000","September 2021"
"World Organisation for Animal Health — Animal Welfare Standards in Southeast Asia","World Organisation for Animal Health","Farm Animal Welfare","$515,000","February 2022"
"Life Sciences Research Foundation — Young Investigators (2021)","Life Sciences Research Foundation","Transformative Basic Science","$630,000","June 2021"
"LessWrong — General Support (2021)",LessWrong,"Effective Altruism Community Growth","$460,000","May 2021"
"LatinoJustice — Criminal Justice Reform Policy & Practice Center",LatinoJustice,"Criminal Justice Reform","$125,000","November 2021"
"Language Model Safety Fund — Language Model Misalignment","Language Model Safety Fund",Longtermism,"$425,800","October 2021"
"Project NIA — General Support","Project NIA","Criminal Justice Reform","$175,000","September 2021"
"Rethink Priorities — Global Health and Wellbeing Cause Research","Rethink Priorities","Global Health & Wellbeing","$418,500","April 2021"
"Effective Altruism Foundation — European Policy Research and Advocacy (April 2022)","Effective Altruism Foundation","Biosecurity & Pandemic Preparedness","$200,000","April 2022"
"Justice Research Group — General Support","Justice Research Group","Criminal Justice Reform","$2,000,000","August 2021"
"Michael Specter — Course Development Support","Massachusetts Institute of Technology","Effective Altruism Community Growth","$85,000","November 2021"
"World of Good — Research on Farm Animal Welfare Legislation (2022)","World of Good","Farm Animal Welfare","$30,000","January 2022"
"Stanford University — Research on Lipid Nanoparticles (Jeffrey Glenn)","Stanford University","Science Supporting Biosecurity and Pandemic Preparedness","$610,000","April 2021"
"Sinergia Animal — Animal Welfare in Southeast Asia (2021)","Sinergia Animal","Farm Animal Welfare","$291,500","July 2021"
"University of Washington — Adversarial Robustness Research","University of Washington",Longtermism,"$730,000","October 2021"
"Employ America Action Fund – General Support","Employ America Action Fund","Macroeconomic Stabilization Policy","$1,000,000","April 2021"
"ACTAsia — Reducing Fur Demand in Asia (2022)",ACTAsia,"Farm Animal Welfare","$225,000","February 2022"
"1Day Sooner — General Support (2021)","1Day Sooner","Biosecurity & Pandemic Preparedness","$2,000,000","November 2021"
"World Animal Protection — Farm Animal Welfare in Southeast Asia (2022)","World Animal Protection","Farm Animal Welfare","$1,142,000","March 2022"
"Wren Collective — Criminal Justice Reform Communications Strategies","The Wren Collective","Criminal Justice Reform","$250,000","October 2021"
"Paris Peace Forum — Global Commission on Governing Risks from Climate Overshoot","Global Commission on Governing Risks from Climate Overshoot",Longtermism,"$166,305","March 2022"
"Dan Lahav – EA Debate Tournament",,"Effective Altruism Community Growth","$2,000","January 2021"
"Color of Change — Criminal Justice Reform (2021)","Color of Change","Criminal Justice Reform","$700,000","February 2022"
"United Fort Worth — Criminal Justice Reform","United Fort Worth","Criminal Justice Reform","$200,000","January 2022"
"Good Forever — Regranting for Biosecurity Projects","Good Forever Foundation","Biosecurity & Pandemic Preparedness","$10,000,000","February 2022"
"Effective Altruism Foundation — European Policy Research and Advocacy (January 2022)","Effective Altruism Foundation","Global Health & Development","$697,268","January 2022"
"Victory Briefs Institute — Effective Altruism Curriculum for Debaters","Victory Briefs Institute","Effective Altruism Community Growth","$95,000","May 2022"
"Yale University — Malaria Vaccine Research (Richard Bucala)","Yale University","Human Health and Wellbeing","$360,000","June 2021"
"Center for Popular Democracy — Exit Grant","Center for Popular Democracy",Longtermism,"$500,000","March 2022"
"Sightsavers — Deworming Programs (October 2021)",Sightsavers,"GiveWell-Recommended Charities","$4,438,085","October 2021"
"Fortify Health — Support for Expansion","Fortify Health","GiveWell-Recommended Charities","$8,188,000","January 2022"
"Plant Based Foods Association — General Support (2021)","Plant Based Foods Association","Alternatives to Animal Products","$3,500,000","September 2021"
"Massachusetts Institute of Technology — AI Trends and Impacts Research (2022)","Massachusetts Institute of Technology",Longtermism,"$13,277,348","March 2022"
